id,name_ko,bucket_id,bucket_ko,summary_ko,scene_ko,dialogue_1_ko,dialogue_2_ko,dialogue_3_ko,tags,tone,cash_delta,health_delta,mood_delta,fatigue_delta,image_needed
company_inbox_01,밤새 쌓인 요청 분류,inbox,메일/메신저 정리,밤사이 들어온 메일과 메신저가 한 화면을 채운다. 급한 요청과 기다려도 되는 일을 먼저 나눈다.,"출근 후 사무실 자리에서 밤새 쌓인 요청 분류 상황을 마주하고, 급한 요청과 기다려도 되는 일을 먼저 나눈다 장면.",일단 지금 보이는 것부터 정리하자. 밤사이 들어온 메일과 메신저가 한 화면을 채운다,밤새 쌓인 요청 분류 지금은 급한 요청과 기다려도 되는 일을 먼저 나눈다,분류가 끝나자 오전 업무의 순서가 보이기 시작한다,"[""work"", ""communication"", ""routine""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_inbox_02,거래처 회신 초안,inbox,메일/메신저 정리,거래처가 어제 보낸 질문에 아직 답이 없다. 자료를 다시 확인하고 오해 없는 문장으로 회신을 쓴다.,"출근 후 사무실 자리에서 거래처 회신 초안 상황을 마주하고, 자료를 다시 확인하고 오해 없는 문장으로 회신을 쓴다 장면.",일단 지금 보이는 것부터 정리하자. 거래처가 어제 보낸 질문에 아직 답이 없다,거래처 회신 초안 지금은 자료를 다시 확인하고 오해 없는 문장으로 회신을 쓴다,보내기 전 마지막 문장을 조금 더 부드럽게 고친다,"[""work"", ""communication"", ""routine""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_inbox_03,참조 메일 속 숨은 업무,inbox,메일/메신저 정리,참조로 들어온 긴 메일에서 내 이름이 조용히 언급되어 있다. 내가 맡아야 할 부분만 표시하고 담당 범위를 확인한다.,"출근 후 사무실 자리에서 참조 메일 속 숨은 업무 상황을 마주하고, 내가 맡아야 할 부분만 표시하고 담당 범위를 확인한다 장면.",일단 지금 보이는 것부터 정리하자. 참조로 들어온 긴 메일에서 내 이름이 조용히 언급되어 있다,참조 메일 속 숨은 업무 지금은 내가 맡아야 할 부분만 표시하고 담당 범위를 확인한다,애매했던 일이 작은 할 일 하나로 정리된다,"[""work"", ""communication"", ""routine""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_inbox_04,알림 폭주 정리,inbox,메일/메신저 정리,팀 채널 알림이 연달아 떠서 집중이 흔들린다. 중요한 스레드만 남기고 나머지는 읽음 처리한다.,"출근 후 사무실 자리에서 알림 폭주 정리 상황을 마주하고, 중요한 스레드만 남기고 나머지는 읽음 처리한다 장면.",일단 지금 보이는 것부터 정리하자. 팀 채널 알림이 연달아 떠서 집중이 흔들린다,알림 폭주 정리 지금은 중요한 스레드만 남기고 나머지는 읽음 처리한다,창이 조용해지자 다시 손을 움직일 수 있다,"[""work"", ""communication"", ""routine""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_inbox_05,결재 요청 확인,inbox,메일/메신저 정리,결재함에 올라온 요청이 오늘 안에 처리되어야 한다. 금액과 사유를 대조하고 빠진 첨부를 확인한다.,"출근 후 사무실 자리에서 결재 요청 확인 상황을 마주하고, 금액과 사유를 대조하고 빠진 첨부를 확인한다 장면.",일단 지금 보이는 것부터 정리하자. 결재함에 올라온 요청이 오늘 안에 처리되어야 한다,결재 요청 확인 지금은 금액과 사유를 대조하고 빠진 첨부를 확인한다,확인 도장을 찍기 전 한 번 더 조건을 훑는다,"[""work"", ""communication"", ""routine""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_inbox_06,상사 메신저 응답,inbox,메일/메신저 정리,상사가 짧게 보낸 질문이 생각보다 까다롭다. 대답하기 전 관련 문서를 열어 근거를 찾는다.,"출근 후 사무실 자리에서 상사 메신저 응답 상황을 마주하고, 대답하기 전 관련 문서를 열어 근거를 찾는다 장면.",일단 지금 보이는 것부터 정리하자. 상사가 짧게 보낸 질문이 생각보다 까다롭다,상사 메신저 응답 지금은 대답하기 전 관련 문서를 열어 근거를 찾는다,짧지만 흔들리지 않는 답장을 보낸다,"[""work"", ""communication"", ""routine""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_inbox_07,오래된 미답장 수습,inbox,메일/메신저 정리,며칠 묵은 메일 하나가 다시 위로 올라왔다. 늦어진 이유를 숨기지 않고 현재 상황을 정리한다.,"출근 후 사무실 자리에서 오래된 미답장 수습 상황을 마주하고, 늦어진 이유를 숨기지 않고 현재 상황을 정리한다 장면.",일단 지금 보이는 것부터 정리하자. 며칠 묵은 메일 하나가 다시 위로 올라왔다,오래된 미답장 수습 지금은 늦어진 이유를 숨기지 않고 현재 상황을 정리한다,밀린 답장을 보내고 마음 한구석이 조금 가벼워진다,"[""work"", ""communication"", ""routine""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_inbox_08,첨부 누락 재발송,inbox,메일/메신저 정리,중요한 메일에 첨부파일이 빠졌다는 답장이 왔다. 파일명을 다시 확인하고 재발송 문구를 짧게 붙인다.,"출근 후 사무실 자리에서 첨부 누락 재발송 상황을 마주하고, 파일명을 다시 확인하고 재발송 문구를 짧게 붙인다 장면.",일단 지금 보이는 것부터 정리하자. 중요한 메일에 첨부파일이 빠졌다는 답장이 왔다,첨부 누락 재발송 지금은 파일명을 다시 확인하고 재발송 문구를 짧게 붙인다,작은 실수지만 오늘의 경고등으로 남겨둔다,"[""work"", ""communication"", ""routine""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_inbox_09,공유 요청 우선순위,inbox,메일/메신저 정리,서로 다른 팀에서 동시에 자료 공유를 요청한다. 마감이 빠른 순서와 영향 범위를 기준으로 순서를 정한다.,"출근 후 사무실 자리에서 공유 요청 우선순위 상황을 마주하고, 마감이 빠른 순서와 영향 범위를 기준으로 순서를 정한다 장면.",일단 지금 보이는 것부터 정리하자. 서로 다른 팀에서 동시에 자료 공유를 요청한다,공유 요청 우선순위 지금은 마감이 빠른 순서와 영향 범위를 기준으로 순서를 정한다,모두에게 현재 처리 순서를 짧게 알린다,"[""work"", ""communication"", ""routine""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_inbox_10,읽지 않은 공지 확인,inbox,메일/메신저 정리,필수 공지가 알림 더미 아래 묻혀 있었다. 변경된 규칙과 적용 날짜를 따로 적어둔다.,"출근 후 사무실 자리에서 읽지 않은 공지 확인 상황을 마주하고, 변경된 규칙과 적용 날짜를 따로 적어둔다 장면.",일단 지금 보이는 것부터 정리하자. 필수 공지가 알림 더미 아래 묻혀 있었다,읽지 않은 공지 확인 지금은 변경된 규칙과 적용 날짜를 따로 적어둔다,나중에 헷갈리지 않게 업무 노트에 붙여둔다,"[""work"", ""communication"", ""routine""]",ordinary,0,"[-3, -1]","[-5, 1]","[12, 22]",False
company_documents_01,주간 보고서 재정리,documents,문서/보고서 작업,주간 보고서의 흐름이 산만해서 핵심이 잘 보이지 않는다. 성과와 이슈를 분리하고 문단 순서를 다시 잡는다.,"출근 후 사무실 자리에서 주간 보고서 재정리 상황을 마주하고, 성과와 이슈를 분리하고 문단 순서를 다시 잡는다 장면.",집중해서 한 번에 흐름을 잡자. 주간 보고서의 흐름이 산만해서 핵심이 잘 보이지 않는다,주간 보고서 재정리 지금은 성과와 이슈를 분리하고 문단 순서를 다시 잡는다,보고서가 조금 짧아졌지만 읽기는 훨씬 쉬워진다,"[""work"", ""document"", ""focus""]",focused,0,"[-3, -1]","[-5, 1]","[14, 24]",False
company_documents_02,회의 자료 구조 수정,documents,문서/보고서 작업,회의 자료가 슬라이드마다 다른 말을 하고 있다. 결정이 필요한 페이지를 앞으로 빼고 배경 설명을 뒤로 보낸다.,"출근 후 사무실 자리에서 회의 자료 구조 수정 상황을 마주하고, 결정이 필요한 페이지를 앞으로 빼고 배경 설명을 뒤로 보낸다 장면.",집중해서 한 번에 흐름을 잡자. 회의 자료가 슬라이드마다 다른 말을 하고 있다,회의 자료 구조 수정 지금은 결정이 필요한 페이지를 앞으로 빼고 배경 설명을 뒤로 보낸다,회의에서 물어볼 지점이 선명해진다,"[""work"", ""document"", ""focus""]",focused,0,"[-3, -1]","[-5, 1]","[14, 24]",False
company_documents_03,요약 문장 압축,documents,문서/보고서 작업,긴 설명을 그대로 두면 아무도 끝까지 읽지 않을 것 같다. 한 문장에 하나의 판단만 남기며 요약을 줄인다.,"출근 후 사무실 자리에서 요약 문장 압축 상황을 마주하고, 한 문장에 하나의 판단만 남기며 요약을 줄인다 장면.",집중해서 한 번에 흐름을 잡자. 긴 설명을 그대로 두면 아무도 끝까지 읽지 않을 것 같다,요약 문장 압축 지금은 한 문장에 하나의 판단만 남기며 요약을 줄인다,문서 첫머리가 드디어 숨을 쉰다,"[""work"", ""document"", ""focus""]",focused,0,"[-3, -1]","[-5, 1]","[14, 24]",False
company_documents_04,근거 자료 보강,documents,문서/보고서 작업,보고서 결론은 맞지만 근거가 빈약해 보인다. 숫자와 출처를 찾아 결론 아래에 붙인다.,"출근 후 사무실 자리에서 근거 자료 보강 상황을 마주하고, 숫자와 출처를 찾아 결론 아래에 붙인다 장면.",집중해서 한 번에 흐름을 잡자. 보고서 결론은 맞지만 근거가 빈약해 보인다,근거 자료 보강 지금은 숫자와 출처를 찾아 결론 아래에 붙인다,방어할 수 있는 문장이 하나 늘어난다,"[""work"", ""document"", ""focus""]",focused,0,"[-3, -1]","[-5, 1]","[14, 24]",False
company_documents_05,버전 충돌 수습,documents,문서/보고서 작업,공유 문서에 서로 다른 수정본이 섞였다. 누가 고친 부분인지 확인하고 최신 내용을 한 파일로 합친다.,"출근 후 사무실 자리에서 버전 충돌 수습 상황을 마주하고, 누가 고친 부분인지 확인하고 최신 내용을 한 파일로 합친다 장면.",집중해서 한 번에 흐름을 잡자. 공유 문서에 서로 다른 수정본이 섞였다,버전 충돌 수습 지금은 누가 고친 부분인지 확인하고 최신 내용을 한 파일로 합친다,파일명에 날짜를 붙여 같은 혼선을 막아둔다,"[""work"", ""document"", ""focus""]",focused,0,"[-3, -1]","[-5, 1]","[14, 24]",False
company_documents_06,문서 톤 맞추기,documents,문서/보고서 작업,여러 사람이 쓴 문장이 한 문서 안에서 따로 논다. 표현 수위를 맞추고 중복 설명을 덜어낸다.,"출근 후 사무실 자리에서 문서 톤 맞추기 상황을 마주하고, 표현 수위를 맞추고 중복 설명을 덜어낸다 장면.",집중해서 한 번에 흐름을 잡자. 여러 사람이 쓴 문장이 한 문서 안에서 따로 논다,문서 톤 맞추기 지금은 표현 수위를 맞추고 중복 설명을 덜어낸다,문서가 한 사람이 쓴 것처럼 정돈된다,"[""work"", ""document"", ""focus""]",focused,0,"[-3, -1]","[-5, 1]","[14, 24]",False
company_documents_07,최종본 제출 준비,documents,문서/보고서 작업,"제출 직전 문서에 작은 빈칸들이 눈에 들어온다. 표지와 첨부, 파일명을 차례대로 확인한다.","출근 후 사무실 자리에서 최종본 제출 준비 상황을 마주하고, 표지와 첨부, 파일명을 차례대로 확인한다 장면.",집중해서 한 번에 흐름을 잡자. 제출 직전 문서에 작은 빈칸들이 눈에 들어온다,"최종본 제출 준비 지금은 표지와 첨부, 파일명을 차례대로 확인한다",제출 버튼 앞에서 숨을 한 번 고른다,"[""work"", ""document"", ""focus""]",focused,0,"[-3, -1]","[-5, 1]","[14, 24]",False
company_documents_08,공유 문서 권한 점검,documents,문서/보고서 작업,완성된 문서를 보냈는데 상대가 열 수 없을지도 모른다. 보기 권한과 편집 권한을 나눠 다시 설정한다.,"출근 후 사무실 자리에서 공유 문서 권한 점검 상황을 마주하고, 보기 권한과 편집 권한을 나눠 다시 설정한다 장면.",집중해서 한 번에 흐름을 잡자. 완성된 문서를 보냈는데 상대가 열 수 없을지도 모른다,공유 문서 권한 점검 지금은 보기 권한과 편집 권한을 나눠 다시 설정한다,링크를 보내기 전에 테스트 계정으로 한 번 열어본다,"[""work"", ""document"", ""focus""]",focused,0,"[-3, -1]","[-5, 1]","[14, 24]",False
company_documents_09,수정 의견 반영,documents,문서/보고서 작업,문서 곳곳에 남은 댓글이 작은 숙제처럼 붙어 있다. 수용할 의견과 답변이 필요한 의견을 나눠 처리한다.,"출근 후 사무실 자리에서 수정 의견 반영 상황을 마주하고, 수용할 의견과 답변이 필요한 의견을 나눠 처리한다 장면.",집중해서 한 번에 흐름을 잡자. 문서 곳곳에 남은 댓글이 작은 숙제처럼 붙어 있다,수정 의견 반영 지금은 수용할 의견과 답변이 필요한 의견을 나눠 처리한다,댓글이 줄어들수록 최종본에 가까워진다,"[""work"", ""document"", ""focus""]",focused,0,"[-3, -1]","[-5, 1]","[14, 24]",False
company_documents_10,마감 전 문서 동결,documents,문서/보고서 작업,계속 고치다가는 마감 시간을 넘길 것 같다. 필수 수정만 남기고 추가 아이디어는 다음 버전으로 넘긴다.,"출근 후 사무실 자리에서 마감 전 문서 동결 상황을 마주하고, 필수 수정만 남기고 추가 아이디어는 다음 버전으로 넘긴다 장면.",집중해서 한 번에 흐름을 잡자. 계속 고치다가는 마감 시간을 넘길 것 같다,마감 전 문서 동결 지금은 필수 수정만 남기고 추가 아이디어는 다음 버전으로 넘긴다,완벽하진 않아도 제출 가능한 상태를 만든다,"[""work"", ""document"", ""focus""]",focused,0,"[-3, -1]","[-5, 1]","[14, 24]",False
company_spreadsheet_01,매출 합계 대조,spreadsheet,표/데이터 정리,보고서의 매출 합계와 원본 표의 숫자가 다르다. 필터와 제외 조건을 하나씩 풀어 차이를 찾는다.,"출근 후 사무실 자리에서 매출 합계 대조 상황을 마주하고, 필터와 제외 조건을 하나씩 풀어 차이를 찾는다 장면.",집중해서 한 번에 흐름을 잡자. 보고서의 매출 합계와 원본 표의 숫자가 다르다,매출 합계 대조 지금은 필터와 제외 조건을 하나씩 풀어 차이를 찾는다,어긋난 숫자의 원인이 숨은 필터였음을 확인한다,"[""work"", ""data"", ""spreadsheet""]",focused,0,"[-3, -1]","[-5, 1]","[14, 24]",False
company_spreadsheet_02,비용 이상값 확인,spreadsheet,표/데이터 정리,비용 표에서 유난히 큰 금액 하나가 튀어나온다. 증빙과 입력 날짜를 대조해 실제 지출인지 확인한다.,"출근 후 사무실 자리에서 비용 이상값 확인 상황을 마주하고, 증빙과 입력 날짜를 대조해 실제 지출인지 확인한다 장면.",집중해서 한 번에 흐름을 잡자. 비용 표에서 유난히 큰 금액 하나가 튀어나온다,비용 이상값 확인 지금은 증빙과 입력 날짜를 대조해 실제 지출인지 확인한다,이상값을 표시해 검토자에게 넘긴다,"[""work"", ""data"", ""spreadsheet""]",focused,0,"[-3, -1]","[-5, 1]","[14, 24]",False
company_spreadsheet_03,피벗 기준 재설정,spreadsheet,표/데이터 정리,피벗 테이블이 원하는 기준으로 묶이지 않는다. 분류 열을 정리하고 빈 값을 별도 항목으로 빼낸다.,"출근 후 사무실 자리에서 피벗 기준 재설정 상황을 마주하고, 분류 열을 정리하고 빈 값을 별도 항목으로 빼낸다 장면.",집중해서 한 번에 흐름을 잡자. 피벗 테이블이 원하는 기준으로 묶이지 않는다,피벗 기준 재설정 지금은 분류 열을 정리하고 빈 값을 별도 항목으로 빼낸다,표가 말하려던 패턴이 조금씩 드러난다,"[""work"", ""data"", ""spreadsheet""]",focused,0,"[-3, -1]","[-5, 1]","[14, 24]",False
company_spreadsheet_04,중복 행 제거,spreadsheet,표/데이터 정리,같은 요청이 두 번 들어간 행들이 결과를 부풀리고 있다. 고유 번호를 기준으로 중복을 찾아 표시한다.,"출근 후 사무실 자리에서 중복 행 제거 상황을 마주하고, 고유 번호를 기준으로 중복을 찾아 표시한다 장면.",집중해서 한 번에 흐름을 잡자. 같은 요청이 두 번 들어간 행들이 결과를 부풀리고 있다,중복 행 제거 지금은 고유 번호를 기준으로 중복을 찾아 표시한다,삭제 전 백업을 남기고 숫자를 다시 계산한다,"[""work"", ""data"", ""spreadsheet""]",focused,0,"[-3, -1]","[-5, 1]","[14, 24]",False
company_spreadsheet_05,예측치 업데이트,spreadsheet,표/데이터 정리,지난주 예측치가 새 실적을 반영하지 못하고 있다. 새 데이터를 넣고 변동 폭이 큰 구간을 따로 본다.,"출근 후 사무실 자리에서 예측치 업데이트 상황을 마주하고, 새 데이터를 넣고 변동 폭이 큰 구간을 따로 본다 장면.",집중해서 한 번에 흐름을 잡자. 지난주 예측치가 새 실적을 반영하지 못하고 있다,예측치 업데이트 지금은 새 데이터를 넣고 변동 폭이 큰 구간을 따로 본다,예측선이 현실 쪽으로 조금 내려앉는다,"[""work"", ""data"", ""spreadsheet""]",focused,0,"[-3, -1]","[-5, 1]","[14, 24]",False
company_spreadsheet_06,대시보드 수치 점검,spreadsheet,표/데이터 정리,대시보드의 지표가 어제와 다르게 튀었다. 집계 시간과 데이터 원천을 확인하며 원인을 좁힌다.,"출근 후 사무실 자리에서 대시보드 수치 점검 상황을 마주하고, 집계 시간과 데이터 원천을 확인하며 원인을 좁힌다 장면.",집중해서 한 번에 흐름을 잡자. 대시보드의 지표가 어제와 다르게 튀었다,대시보드 수치 점검 지금은 집계 시간과 데이터 원천을 확인하며 원인을 좁힌다,오류인지 실제 변화인지 구분할 단서가 생긴다,"[""work"", ""data"", ""spreadsheet""]",focused,0,"[-3, -1]","[-5, 1]","[14, 24]",False
company_spreadsheet_07,월마감 숫자 잠금,spreadsheet,표/데이터 정리,마감용 표는 이제 더 이상 흔들리면 안 된다. 확정된 행과 검토 중인 행을 색으로 분리한다.,"출근 후 사무실 자리에서 월마감 숫자 잠금 상황을 마주하고, 확정된 행과 검토 중인 행을 색으로 분리한다 장면.",집중해서 한 번에 흐름을 잡자. 마감용 표는 이제 더 이상 흔들리면 안 된다,월마감 숫자 잠금 지금은 확정된 행과 검토 중인 행을 색으로 분리한다,마감 숫자에 잠금 표시를 남긴다,"[""work"", ""data"", ""spreadsheet""]",focused,0,"[-3, -1]","[-5, 1]","[14, 24]",False
